sample	alias	n_reads	pass_rate	total_bases	mean_len	median_len	n50_len	mean_q
TOTI_ZYMO_LSK114	barcode96	5	0.2	2376	475.2	423	561	5.9511418
TOTI_ZYMO_LSK114	barcode19	5	0.4	1850	370	360	401	6.8936786
TOTI_ZYMO_LSK114	barcode67	5	0.2	3475	695	672	937	6.1892082
TOTI_ZYMO_LSK114	barcode01	5	0.4	6072	1214.4	1401	1662	7.6800072
TOTI_ZYMO_LSK114	barcode68	5	0.2	6520	1304	721	1928	6.0034254
TOTI_ZYMO_LSK114	barcode56	5	0.2	4529	905.8	632	1463	5.9504006
TOTI_INVITRO_LSK114	barcode43	4	0.25	7629	1907.25	483	6314	5.6884435
TOTI_INVITRO_LSK114	barcode75	4	0	1921	480.25	392.5	454	4.4874195
TOTI_INVITRO_LSK114	barcode86	4	0	4011	1002.75	805.5	865	4.96001525
TOTI_INVITRO_LSK114	barcode82	4	0	1252	313	283	354	4.640396
TOTI_INVITRO_LSK114	barcode63	4	0	1468	367	364.5	413	5.8839785
TOTI_INVITRO_LSK114	barcode51	4	0	4644	1161	794.5	2760	4.80822825
TOTI_ZYMO_LSK114	barcode25	4	0.5	1608	402	388	440	7.16129325
TOTI_ZYMO_LSK114	barcode09	4	0.25	2261	565.25	434.5	533	6.61811075
TOTI_ZYMO_LSK114	barcode82	4	0.5	4017	1004.25	694.5	2155	8.073477
TOTI_ZYMO_LSK114	barcode69	4	0	2288	572	531.5	588	5.484649
TOTI_ZYMO_LSK114	barcode16	4	0.5	3465	866.25	840	924	7.12356875
TOTI_ZYMO_LSK114	barcode02	4	0	2706	676.5	546	557	5.3444025
TOTI_ZYMO_LSK114	barcode40	4	0.5	3164	791	639.5	1582	6.773348
TOTI_ZYMO_LSK114	barcode22	4	0.25	4002	1000.5	670.5	2450	7.01227775
TOTI_ZYMO_LSK114	barcode85	4	0.5	3467	866.75	381.5	2405	8.20039875
TOTI_ZYMO_LSK114	barcode13	4	0.25	1443	360.75	373.5	393	7.03579475
TOTI_ZYMO_LSK114	barcode75	4	0	2082	520.5	457.5	656	5.61427175
TOTI_INVITRO_LSK114	barcode85	3	0	5288	1762.66666666667	363	4748	4.92104566666667
TOTI_INVITRO_LSK114	barcode41	3	0	1911	637	758	758	3.83950366666667
TOTI_INVITRO_LSK114	barcode07	3	0.666666666666667	11298	3766	3555	7095	6.87768433333333
TOTI_INVITRO_LSK114	barcode17	3	0.333333333333333	1483	494.333333333333	591	591	6.48845733333333
TOTI_INVITRO_LSK114	barcode06	3	0	3106	1035.33333333333	572	2024	5.31151866666667
TOTI_INVITRO_LSK114	barcode47	3	0.333333333333333	2050	683.333333333333	545	1203	6.665525
TOTI_ZYMO_LSK114	barcode95	3	0.333333333333333	1432	477.333333333333	529	529	6.72912633333333
TOTI_ZYMO_LSK114	barcode49	3	0.333333333333333	4084	1361.33333333333	1003	2602	7.75959
TOTI_ZYMO_LSK114	barcode34	3	0	2998	999.333333333333	1137	1650	5.78616833333333
TOTI_ZYMO_LSK114	barcode52	3	0.333333333333333	2069	689.666666666667	376	1362	7.668615
TOTI_ZYMO_LSK114	barcode33	3	0.666666666666667	1691	563.666666666667	489	489	7.791494
TOTI_ZYMO_LSK114	barcode78	3	0	3622	1207.33333333333	467	2818	6.20714666666667
