sample_1	sample_2	distance	host	platform	Vregion	workflow	method	db	DNA_isolation_method	sample_nr	sample_name	library
67	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_4	0.921747037428136	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
68	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_4	0.16152085137978	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
69	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	0.226864720870975	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
70	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_1	0.915263817845272	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
71	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_3	0.340383942717228	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
72	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_3	0.952971319168106	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
73	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	0.872475168322112	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
74	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_3	0.3183705480716	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
75	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_3	0.14421024754249	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
76	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	0.619163296572856	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
77	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	0.396964991313172	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
78	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_4	0.995696919711694	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
79	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_2	0.365529296841528	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
80	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_4	0.530083411456455	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
81	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_1	0.900972235576243	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
82	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_1	0.432992514150082	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
83	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_4	0.917406262635954	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
84	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	0.399411126607779	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
85	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_3	0.94070614890193	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
86	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_4	0.170193045256968	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
87	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	0.982625413892548	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
88	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_3	0.715786505360589	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
89	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_2	0.984279853245646	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
90	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_MN_2	0.938548338869803	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
91	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_1	0.361675789636564	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
92	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	0	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
93	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	0.344409859510389	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
94	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_4	0.421269222438813	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
95	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	0.821486541322873	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
96	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	0.393535262206148	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
97	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_1	0.292567998805013	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
98	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	0.59393258149388	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
99	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_MN_3	0.894637863287196	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
100	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_3	0.573217754326965	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
101	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	0.369044156644027	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
102	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	0.809882765421278	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
103	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_2	0.965349808340685	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
104	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_3	0.395745927731383	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
105	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_2	0.913056581029157	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
106	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_1	0.953092165519721	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
