genus	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Ferruginibacter	18	8	3	2	1	0	5	8	2	3	0	4	5	0	3	2	10	4
Fervidibacillus	164	112	17	10	13	17	0	1	1	5	17	8	24	22	17	12	39	11
Fervidicoccus	7	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1
Fervidobacterium	9	19	1	2	2	4	0	2	0	1	7	10	7	16	2	4	10	6
Fibrella	17	11	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
Fibrobacter	2	48	4	4	4	2	0	1	2	1	1	1	2	2	2	1	5	1
Fictibacillus	225	257	19	26	31	24	6	9	6	6	35	24	39	80	37	25	81	26
Filifactor	115	185	38	42	40	30	4	6	3	1	31	25	51	81	32	23	83	30
Filimonas	9	4	6	4	8	9	9	3	9	10	3	4	4	8	4	3	5	4
Filomicrobium	5	70	4	8	7	11	0	0	0	0	10	3	11	26	7	5	18	14
Fimbriimonas	9	104	3	4	5	2	0	0	0	0	3	3	2	13	5	4	11	5
Finegoldia	183	244	15	20	23	11	12	23	13	25	23	26	33	54	31	24	59	33
Fischerella	27	24	7	5	6	3	0	2	1	4	8	8	14	24	12	19	42	21
Flagellatimonas	2	1	0	1	0	1	3	2	4	1	2	0	0	0	1	1	1	1
Flagellimonas	12	3	1	3	2	2	4	4	6	5	7	10	5	13	7	11	16	6
Flammeovirga	29	29	2	4	4	3	4	12	5	7	12	9	8	14	8	8	27	5
Flaviflexus	18	39	0	1	0	1	0	0	0	0	0	3	0	2	2	1	2	1
Flavihumibacter	9	17	2	0	3	2	0	1	0	0	1	4	6	8	3	2	11	4
Flaviramulus	2	12	0	0	0	0	0	1	1	0	3	1	1	2	0	2	1	1
Flavisolibacter	30	71	2	4	2	3	0	3	3	2	5	3	2	14	6	2	12	4
Flavivirga	11	3	5	1	2	2	0	0	0	0	3	0	3	9	4	6	11	3
Flavobacterium	1089	946	122	173	130	135	147	225	192	223	168	171	287	383	214	217	557	232
Flavonifractor	1660	2650	200	389	330	662	323	153	57	167	158	177	431	413	132	131	362	185
Flexistipes	37	52	13	16	12	11	1	8	8	5	6	18	22	30	15	22	50	20
Flintibacter	661	608	63	108	108	104	119	73	15	48	45	50	142	176	47	39	106	64
Flocculibacter	10	20	1	0	1	0	1	1	0	1	3	5	4	10	1	6	7	8
Floricoccus	16	41	0	2	4	2	7	7	3	6	2	2	5	8	10	4	17	4
Fluoribacter	4	0	4	2	4	2	2	1	1	3	6	3	10	9	6	6	6	2
Fluviibacter	1	0	2	6	5	1	3	5	3	2	1	1	0	1	1	0	0	2
Fluviicola	5	3	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0
Fluviispira	3	1	0	0	0	0	0	0	0	0	2	0	1	2	0	2	3	0
Fonsibacter	4	1	4	0	4	2	0	0	0	0	6	4	5	8	2	2	9	4
Fontisphaera	6	1	1	1	2	0	1	2	1	2	0	2	5	3	2	1	5	0
Formicincola	4	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Formosa	81	65	7	18	17	22	7	4	15	18	14	13	19	22	15	17	33	15
Francisella	84	157	30	23	17	25	18	21	13	26	25	29	43	62	39	35	89	27
Frankia	14	79	5	4	8	3	0	1	0	0	6	7	8	28	6	5	6	14
Frateuria	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fretibacterium	58	41	0	2	2	4	1	0	0	0	2	4	6	5	4	4	7	6
Friedmanniella	13	55	7	0	1	1	0	0	1	1	1	41	3	6	0	1	4	2
Frigoribacterium	16	61	2	2	2	3	1	1	2	0	1	1	5	8	0	4	5	0
Frigoriglobus	6	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Frischella	9	4	0	3	1	1	1	1	2	1	5	5	3	4	3	4	6	3
Frondihabitans	16	35	2	0	0	0	0	0	0	0	0	5	0	0	1	1	1	0
Fructilactobacillus	51	38	1	4	3	5	3	5	8	3	10	11	13	15	8	18	23	9
Fructobacillus	9	15	0	0	1	0	0	0	0	0	3	1	3	2	1	0	2	2
Fuerstiella	0	10	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	1
Fulvivirga	22	53	4	2	2	1	3	6	5	8	4	8	12	16	7	6	27	7
