genus	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Pasteurella	45	118	3	7	6	4	3	1	1	3	3	6	10	20	6	8	17	7
Paucilactobacillus	31	121	0	6	3	3	4	3	3	1	3	9	10	7	4	11	18	8
Pauljensenia	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectinatus	12	13	1	0	2	0	3	6	2	4	2	1	4	4	3	2	6	4
Pectobacterium	93	65	6	4	7	7	10	8	8	8	8	6	9	23	8	8	22	9
Pediococcus	138	89	8	13	20	14	6	14	16	13	13	11	16	29	16	20	49	19
Pedobacter	182	198	27	24	29	23	16	30	8	25	29	23	54	78	43	26	76	43
Pedococcus	3	4	11	0	0	1	0	0	0	0	0	1	3	0	0	0	1	0
Pelagerythrobacter	1	3	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0
Pelagibacter	24	39	4	11	8	4	2	6	4	3	12	15	34	36	19	13	47	22
Pelagibacterium	38	69	3	3	2	7	1	0	0	0	9	5	10	11	4	4	6	5
Pelistega	5	1	2	0	2	2	6	11	4	9	0	1	1	0	1	1	3	1
Pelobacter	3	13	1	1	1	1	4	1	1	0	1	1	0	5	2	0	1	2
Pelodictyon	21	17	2	2	5	4	2	2	1	2	2	1	6	6	3	2	3	2
Pelolinea	4	5	1	2	1	4	5	0	5	7	2	1	3	5	0	0	3	3
Pelosinus	97	195	13	29	24	28	7	19	9	12	17	14	31	44	17	25	48	16
Pengzhenrongella	9	10	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0
Peptacetobacter	407794	2222542	7145	10108	10275	11078	565	471	464	859	90175	92303	161671	231624	136796	134338	289952	173572
Peptoclostridium	138	160	3	11	7	15	3	4	2	5	13	15	24	28	14	11	33	14
Peptoniphilus	157	239	27	35	30	35	10	9	14	18	41	34	83	110	50	56	141	69
Peptostreptococcus	92	317	12	12	19	11	3	6	3	9	27	35	55	65	41	36	88	43
Peribacillus	291	458	34	51	57	64	15	17	13	23	64	52	114	152	55	82	200	80
Periweissella	7	14	0	0	1	1	1	0	0	0	5	0	2	6	2	3	7	3
Persephonella	3	13	2	2	5	2	1	2	2	1	7	3	9	11	9	6	11	4
Persicimonas	21	160	5	9	4	7	1	0	0	0	5	12	11	41	10	8	24	7
Peterkaempfera	10	73	1	4	2	5	0	0	0	0	0	3	4	4	2	1	0	0
Peteryoungia	5	5	4	0	3	1	2	2	1	0	0	1	3	1	0	0	1	0
Petrimonas	7	13	3	3	2	3	7	7	7	14	0	1	2	5	1	2	7	1
Petrocella	107	158	16	10	23	21	3	5	0	3	7	14	17	40	21	12	38	16
Petroclostridium	206	258	29	33	51	52	6	6	4	4	55	35	62	88	57	48	130	58
Petrotoga	10	12	2	1	5	0	0	1	0	2	2	1	2	2	3	1	3	9
Phaeobacter	34	45	3	10	12	7	0	1	2	0	3	5	10	9	4	7	6	2
Phascolarctobacterium	232	208	15	13	27	20	12	3	4	2	26	22	28	59	23	31	87	27
Phenylobacterium	7	13	3	5	1	1	3	0	0	1	2	2	2	3	0	1	4	2
Phietavirus	0	0	1	1	0	0	0	0	0	0	2	0	2	5	3	0	3	3
Phocaeicola	8456	8210	52691	124090	107514	216163	352603	562347	331834	372626	38486	56427	191468	68819	60852	74797	256556	77067
Phoenicibacter	116	649	4	3	4	4	2	0	0	1	12	6	15	15	9	14	22	12
Phormidium	5	25	5	4	2	1	0	0	0	0	1	0	4	5	1	2	3	1
Photobacterium	194	240	16	30	30	27	16	20	15	18	27	18	51	53	26	30	86	43
Photorhabdus	41	80	2	4	2	0	3	0	0	2	1	2	6	6	1	6	10	2
Phototrophicus	5	9	0	6	3	11	0	0	0	0	3	2	6	6	1	2	6	2
Phreatobacter	36	131	5	6	5	9	0	0	0	0	3	3	9	5	3	2	3	3
Phycicoccus	22	57	31	3	1	3	0	0	1	0	5	3	1	8	0	7	13	1
Phycisphaera	8	45	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0
Phycorickettsia	3	1	1	0	4	3	0	0	0	2	0	0	4	1	0	1	1	1
Phyllobacterium	27	73	0	0	1	1	1	2	2	2	1	0	1	1	0	1	1	1
Phytohabitans	33	145	11	5	6	5	0	0	0	0	7	13	6	19	4	6	13	7
Phytoplasma	1	6	0	1	1	0	5	5	1	0	0	2	6	3	4	3	11	2
Picosynechococcus	14	17	0	1	2	1	0	0	0	0	0	0	0	0	0	2	3	0
Picrophilus	31	14	1	1	0	2	0	0	0	0	4	0	5	6	2	7	4	1
Pigmentibacter	9	13	0	3	1	1	1	5	5	5	4	1	4	5	5	1	10	4
Pigmentiphaga	22	34	2	1	0	3	2	4	2	7	3	3	3	4	2	3	7	1
Pikeienuella	7	15	1	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0
Pimelobacter	7	21	6	0	0	0	0	0	0	0	1	3	1	2	0	0	1	0
Pirellula	19	19	1	3	2	3	0	0	0	0	0	1	1	0	0	0	1	0
Pirellulimonas	3	2	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1
Piscinibacter	13	49	4	3	2	2	0	1	1	0	0	4	3	9	1	4	10	1
Piscirickettsia	14	12	3	2	1	1	0	1	1	0	4	4	5	11	1	5	6	4
Planctomyces	5	6	2	0	1	0	1	0	0	0	0	1	0	0	0	0	4	0
Planctopirus	6	5	0	0	0	3	0	2	4	2	0	0	0	0	0	0	6	0
Planktophila	20	14	2	3	5	4	3	4	1	0	1	1	4	11	2	3	11	4
Planktothrix	28	36	2	2	2	2	1	1	1	4	3	5	10	5	4	5	4	4
Planococcus	558	621	70	67	71	75	14	13	15	17	78	73	143	239	109	113	283	129
Plantactinospora	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Plantibacter	3	15	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	1
Pleionea	7	0	0	1	1	0	2	1	3	1	2	1	4	2	2	1	7	3
Pleomorphomonas	41	160	5	5	9	10	0	1	0	0	5	5	6	24	10	9	16	1
Plesiomonas	11	4	1	3	0	2	3	3	2	2	3	0	0	0	1	0	3	0
Pluralibacter	21	77	1	4	9	9	0	0	0	1	12	8	12	27	9	6	16	7
Polaribacter	245	173	25	37	29	31	60	86	65	92	54	57	77	102	71	73	158	61
Polaromonas	11	11	3	2	8	3	5	5	3	6	1	0	4	2	1	0	5	1
Pollutimonas	16	69	2	4	3	6	1	1	2	0	6	2	4	17	3	6	7	2
Polyangium	31	92	1	2	1	4	0	0	1	0	3	4	3	7	0	0	2	1
Polycladomyces	38	37	0	0	1	1	0	1	0	0	10	3	10	13	4	5	11	3
Polymorphospora	5	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Polymorphum	5	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter	99	128	29	35	45	53	66	89	48	57	22	35	46	62	24	44	98	46
Polystyrenella	11	22	1	1	3	2	0	0	0	0	1	2	1	4	0	0	1	0
Pontibacillus	41	85	11	10	12	13	12	4	9	9	9	14	23	37	15	21	29	15
Pontibacter	34	70	5	7	9	12	14	14	11	20	7	4	17	14	3	12	21	6
Ponticoccus	2	5	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
Pontivivens	2	3	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0
Porifericola	50	80	9	2	6	10	1	2	1	2	10	7	16	23	14	10	32	12
Porphyrobacter	8	13	5	3	6	7	0	0	0	0	1	3	7	6	1	3	3	3
Porphyromonas	110	126	10	20	14	34	32	39	21	31	9	10	21	28	12	8	33	14
Portiera	10	15	0	1	1	0	0	0	1	1	2	2	1	2	1	2	2	0
Poseidonibacter	82	83	0	1	2	0	1	3	6	0	7	8	9	9	6	6	14	8
Pradoshia	67	108	3	2	8	8	3	1	0	4	3	3	6	20	8	7	18	6
Pragia	1	20	0	4	2	4	0	0	0	0	2	3	6	10	3	4	3	4
Prauserella	4	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Prescottella	12	26	1	2	2	1	0	0	1	0	1	3	1	15	0	7	2	3
Prevotella	662	663	70	104	87	121	215	222	197	272	69	87	120	180	80	81	252	96
Priestia	493	532	85	74	83	89	23	41	29	35	94	80	129	188	105	97	281	123
Prochlorococcus	64	94	5	12	25	10	15	29	21	26	9	15	22	34	25	19	49	19
Profftia	3	13	1	1	1	2	1	3	0	2	3	1	2	9	2	7	1	1
Profundibacter	2	3	5	5	2	3	0	0	0	0	0	3	1	3	1	2	6	1
Propionibacterium	59	322	14	17	15	14	2	2	1	3	11	14	17	38	11	11	32	15
Propioniciclava	27	98	15	3	5	9	2	0	0	0	9	14	11	28	5	10	12	7
Propionimicrobium	3	18	3	1	2	1	0	0	0	0	1	3	1	5	0	3	4	1
Propionivibrio	12	64	0	1	2	0	0	2	3	0	2	1	0	0	0	1	3	1
Prosthecochloris	45	88	19	12	13	10	0	1	0	3	8	12	24	31	19	25	49	16
Protaetiibacter	5	48	4	1	9	4	0	0	0	0	4	2	3	11	3	2	4	3
Proteiniborus	210	232	19	31	36	20	12	22	17	18	29	37	43	74	36	39	90	42
Proteiniclasticum	46	183	4	14	16	18	1	3	2	1	5	15	21	30	10	17	36	22
Proteiniphilum	33	19	6	2	7	8	1	12	4	5	3	5	8	8	4	8	12	1
Proteus	58	72	2	3	1	3	3	9	8	9	5	6	12	13	10	4	18	5
Protochlamydia	50	22	1	3	1	2	0	1	0	0	7	4	5	16	6	6	13	9
Providencia	98	140	6	11	18	27	25	21	20	28	18	15	29	41	18	19	52	22
Prymnesiovirus	9	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
Pseudactinotalea	11	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pseudalgibacter	5	1	0	0	0	0	0	1	1	1	2	0	0	3	1	1	3	0
Pseudalkalibacillus	95	102	23	15	13	21	2	1	0	3	25	19	21	52	24	28	73	37
Pseudanabaena	113	37	0	4	2	1	2	1	0	0	7	7	5	13	2	3	9	3
Pseudarthrobacter	65	198	15	15	17	17	8	6	2	4	5	20	18	30	12	8	22	20
Pseudazoarcus	2	4	0	2	0	0	1	2	3	2	0	0	1	0	0	0	1	0
Pseudemcibacter	15	54	9	12	11	15	0	1	0	0	5	12	19	22	4	12	27	14
Pseudescherichia	51	12	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
Pseudidiomarina	0	10	0	0	0	1	0	1	4	5	0	0	1	3	0	0	2	1
Pseudoalteromonas	136	173	14	13	22	20	13	28	23	23	17	18	33	56	18	18	64	23
Pseudobacter	16	13	1	1	0	1	3	2	1	2	0	0	1	3	0	0	3	0
Pseudobdellovibrio	4	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1
Pseudobutyrivibrio	568	1247	132	169	171	186	7	6	4	8	171	180	279	481	188	206	514	197
Pseudochrobactrum	13	15	3	4	9	5	0	0	0	3	4	2	5	8	3	1	7	6
Pseudocitrobacter	4	2	0	0	0	2	1	0	2	1	0	0	0	0	0	0	1	0
Pseudoclavibacter	12	19	0	0	2	0	1	3	0	1	0	0	0	1	0	0	0	0
Pseudoclostridium	98	146	11	26	24	16	7	2	3	4	25	23	32	56	21	19	54	23
Pseudocnuella	7	2	0	0	0	0	4	5	4	3	0	0	0	1	0	0	1	0
Pseudodesulfovibrio	73	162	8	9	20	13	5	3	3	5	10	15	17	35	10	12	29	11
Pseudoduganella	26	30	8	3	10	8	12	7	3	5	4	6	18	9	2	3	15	3
Pseudofrankia	2	34	4	2	2	0	0	0	0	0	0	1	0	4	0	2	2	2
Pseudoglutamicibacter	8	96	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Pseudohongiella	9	23	0	0	0	1	0	0	1	1	0	0	0	1	0	1	2	0
Pseudolabrys	0	15	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0
Pseudoleptotrichia	75	72	6	4	6	6	16	26	12	26	8	6	21	17	6	11	44	17
Pseudomonas	1047	2530	158	226	238	226	113	75	37	54	163	152	256	532	159	186	472	226
Pseudonocardia	79	294	24	10	18	15	0	0	3	2	27	43	27	52	16	22	36	15
Pseudooceanicola	52	36	2	4	3	1	0	2	0	1	3	3	9	12	3	2	15	2
Pseudopedobacter	6	12	1	1	2	1	2	3	2	4	4	2	5	8	3	7	11	6
Pseudoprevotella	27	12	0	2	2	2	12	7	5	10	0	0	0	0	1	0	5	1
Pseudorhizobium	15	112	1	4	10	6	1	1	1	0	8	5	3	20	10	6	22	3
Pseudorhodobacter	5	35	6	7	6	6	0	0	0	0	7	8	4	25	2	13	14	10
Pseudorhodoplanes	0	1	4	0	0	0	2	1	1	1	0	1	0	1	0	0	0	1
Pseudoroseomonas	3	31	1	0	1	2	2	0	0	1	2	0	2	10	2	2	5	0
Pseudosulfitobacter	6	31	1	1	2	3	0	0	0	0	1	0	1	4	3	2	3	3
Pseudothermotoga	4	11	4	1	5	1	0	2	0	1	4	0	7	12	5	5	12	7
Pseudovibrio	3	5	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1
Pseudoxanthomonas	60	331	20	27	28	25	10	5	3	2	13	23	32	89	22	16	66	19
Psimunavirus	2	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	2
Psychrobacillus	43	71	6	12	5	3	5	0	0	4	20	14	23	35	18	22	34	28
Psychrobacter	61	139	18	22	22	21	13	18	8	14	15	15	25	46	18	15	51	21
Psychroflexus	10	62	8	5	6	11	0	1	0	0	8	15	14	34	14	11	25	19
Psychromicrobium	5	16	0	2	1	0	0	0	0	0	1	0	3	8	0	0	3	1
Psychromonas	11	16	0	2	2	1	1	3	6	1	0	1	3	4	0	0	5	1
Psychroserpens	5	5	0	1	1	2	2	1	1	7	1	1	4	1	2	1	5	2
Psychrosphaera	5	2	0	0	0	1	2	3	3	5	0	0	1	0	2	1	1	0
Pukyongia	5	2	1	2	3	1	2	0	0	2	1	2	3	8	2	1	2	4
Pullulanibacillus	73	22	4	2	2	4	1	1	0	1	5	1	4	9	4	7	8	4
Pulveribacter	17	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Purcelliella	0	2	1	0	1	0	0	0	0	0	3	3	3	6	7	6	5	3
Pusillibacter	663	665	75	101	85	88	86	41	16	49	35	54	107	115	38	27	108	40
Pusillimonas	1	2	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0
Pyramidobacter	13	43	5	5	11	7	6	3	5	7	1	5	6	8	1	1	9	3
Pyrococcus	0	35	0	3	3	2	0	0	0	0	4	1	5	6	3	1	4	2
Pyruvatibacter	5	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1
Pyxidicoccus	5	17	1	0	2	1	0	0	0	0	4	6	0	1	1	0	1	0
Qiania	1461	1682	187	254	271	314	23	12	8	11	225	175	315	511	191	217	525	225
Qipengyuania	35	55	1	0	3	3	0	0	1	1	1	4	8	3	3	0	9	4
Quatrionicoccus	2	12	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0
Radiobacillus	126	175	3	12	8	4	2	5	3	4	9	8	17	33	14	19	33	26
Rahnella	33	145	1	6	9	5	5	5	6	3	3	2	14	16	4	6	13	3
Raineyella	16	67	4	2	1	0	1	1	3	0	0	6	1	5	1	2	2	3
Ralstonia	22	107	1	4	5	2	7	8	4	5	2	6	6	18	2	9	15	5
Ramlibacter	26	31	4	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0
Raoultella	5	6	0	2	0	2	0	0	1	0	0	0	1	1	1	0	0	1
Raoultibacter	478	2030	16	25	26	31	4	1	0	1	17	20	30	112	25	30	70	32
Rathayibacter	28	65	5	5	5	4	1	0	1	0	5	5	5	16	4	4	8	5
Reichenbachiella	7	59	10	2	9	12	4	5	0	1	10	5	12	27	15	9	25	10
Reidiella	2	9	1	0	0	1	0	0	0	0	1	0	1	1	2	1	2	3
Reinekea	1	6	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0
Renibacterium	3	5	2	1	2	3	0	0	0	0	0	1	0	2	0	2	4	3
Rhabdochlamydia	0	0	1	0	3	1	2	4	1	4	1	1	3	4	0	2	6	0
Rheinheimera	15	14	2	2	1	1	3	3	2	0	1	1	2	1	2	0	6	1
Rhizobacter	3	16	2	1	1	0	0	0	1	0	0	2	1	1	1	1	2	0
Rhizobium	164	565	32	55	55	71	12	20	9	9	49	45	55	129	37	48	116	57
Rhizorhabdus	3	8	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
Rhodanobacter	25	68	5	2	7	3	4	2	1	0	6	5	12	25	4	3	10	1
Rhodobaca	5	37	3	5	12	11	1	0	0	0	8	9	11	27	2	7	21	12
Rhodobacter	14	23	3	2	1	3	1	0	1	0	1	3	2	4	0	1	1	2
Rhodocaloribacter	0	6	3	1	1	0	5	2	2	1	2	0	2	3	0	1	3	1
Rhodococcus	154	580	30	36	47	50	13	9	6	12	41	41	45	172	38	39	120	50
Rhodocytophaga	7	2	0	1	0	0	1	3	0	1	0	1	2	6	0	2	1	1
Rhodoferax	34	96	12	16	22	25	19	29	30	18	4	8	16	15	5	9	15	9
Rhodoluna	8	18	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Rhodomicrobium	7	36	3	5	11	8	0	1	1	0	8	0	10	26	6	5	5	11
Rhodophyticola	14	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Rhodopirellula	1	0	1	0	1	2	3	2	1	5	0	0	1	1	0	1	2	0
Rhodoplanes	4	10	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Rhodopseudomonas	25	192	15	18	22	18	0	4	5	2	22	13	26	79	20	18	46	15
Rhodospirillum	11	31	6	6	5	2	1	0	0	2	3	6	3	7	4	3	9	3
Rhodothermus	16	16	0	1	2	0	4	4	2	4	1	2	3	3	0	4	4	0
Rhodovastum	17	27	2	4	6	5	3	1	0	0	10	6	5	30	5	3	12	5
Rhodovulum	4	10	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Richelia	1	44	2	3	1	3	0	1	0	0	6	2	2	10	6	5	6	2
Rickettsia	8	30	7	4	3	4	1	11	6	6	5	7	4	8	5	7	16	7
Rickettsiella	1	2	1	2	4	1	0	0	0	0	1	4	5	6	2	3	8	2
Riemerella	13	12	4	1	6	5	7	8	5	7	8	13	13	19	12	11	21	10
Riesia	11	12	1	0	5	0	0	0	0	0	0	2	5	9	3	6	7	2
Rippkaea	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rivularia	6	2	0	2	2	2	1	4	6	4	1	2	6	4	0	1	8	3
Robbsia	27	16	3	4	4	3	1	4	0	1	2	0	3	3	1	2	2	1
Robiginitalea	2	4	0	3	0	1	4	3	0	1	0	0	2	0	1	0	5	1
Rodentibacter	5	15	4	1	2	2	1	0	0	0	1	1	2	12	3	5	8	2
Romboutsia	10105	35918	142	188	379	233	164	617	177	244	839	672	1549	1576	439	479	867	608
Roseateles	72	201	7	12	15	13	6	0	5	3	7	12	9	30	13	6	25	8
Roseburia	12132	18464	2880	3739	3601	3914	485	329	138	274	2867	2567	4651	7127	3061	3138	8308	3902
Roseibacterium	4	20	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
Roseibium	16	67	6	4	9	2	2	3	1	0	2	3	4	13	3	6	7	6
Roseicitreum	3	5	0	1	1	0	0	0	1	2	0	0	1	1	0	0	0	0
Roseiflexus	10	3	0	2	0	0	0	0	0	0	1	1	4	3	3	0	3	3
Roseimaritima	3	4	2	6	5	3	3	3	0	4	3	7	8	9	0	2	6	4
Roseimicrobium	0	7	3	0	0	2	0	0	2	0	0	0	1	0	0	0	1	0
Roseitalea	3	7	4	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
Roseivirga	19	5	4	1	2	4	1	2	2	3	3	3	6	5	5	0	7	4
Roseivivax	7	7	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Roseococcus	5	3	7	3	7	11	6	2	1	3	7	5	8	4	4	0	6	5
Roseomonas	32	171	16	14	16	16	2	2	0	2	19	23	29	79	12	14	44	17
Roseovarius	55	168	3	0	7	4	1	0	0	0	5	5	9	19	5	2	6	5
Rosistilla	3	30	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
Rossellomorea	102	101	17	38	29	26	1	2	0	2	12	17	25	36	16	11	51	14
Rothia	105	757	4	21	19	23	1	3	3	1	43	19	47	142	17	18	53	23
Rouxiella	21	10	0	0	0	2	0	0	0	0	4	1	1	4	0	0	4	1
Ruania	52	369	9	14	19	16	0	0	0	2	6	14	27	48	14	12	42	18
Rubinisphaera	4	10	2	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0
Rubrivivax	7	4	2	3	2	2	2	4	2	3	1	3	1	0	1	0	1	2
Rubrobacter	39	268	6	17	13	15	0	2	1	5	6	20	19	51	6	13	35	22
Ruegeria	39	131	3	5	7	13	3	3	0	5	9	4	9	32	6	5	24	3
Rufibacter	18	20	3	4	4	4	4	3	4	8	7	3	13	16	3	6	10	9
Ruficoccus	5	84	0	1	0	2	0	0	0	0	2	0	0	3	1	0	2	1
Rugamonas	3	2	0	0	0	0	1	1	2	0	0	0	0	1	0	0	1	0
Rugosibacter	9	3	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
Ruminiclostridium	389	465	81	82	76	72	10	14	6	12	127	85	175	293	114	121	297	160
Ruminococcus	3089	5304	564	623	643	783	57	78	38	72	817	747	1318	2031	771	756	2101	998
Rummeliibacillus	34	21	3	1	3	3	0	1	0	0	4	4	3	14	8	1	8	6
Runella	15	16	1	1	4	3	1	2	2	1	6	4	13	9	2	4	15	7
Ruthenibacterium	724	943	127	204	237	190	114	63	23	63	126	115	246	333	97	109	293	145
Saccharibacillus	44	31	7	14	15	14	7	4	1	3	6	2	17	16	7	8	22	6
Saccharobesus	3	4	0	1	1	1	3	0	1	1	0	0	1	3	1	0	2	3
Saccharolobus	2	0	0	0	0	0	1	2	2	1	0	0	2	2	2	2	1	3
Saccharomonospora	38	163	5	5	5	5	3	4	4	2	7	7	10	26	4	7	12	5
Saccharopolyspora	86	226	15	13	7	9	4	3	2	1	12	21	13	45	6	13	14	8
Saccharothrix	20	46	9	9	18	12	6	3	2	2	8	21	8	33	5	6	18	10
Salacisavirus	4	18	2	6	2	2	0	0	0	0	6	2	2	9	7	6	12	4
Salaquimonas	7	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Salarchaeum	12	39	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
Salegentibacter	15	8	1	1	0	0	1	3	1	0	1	1	1	2	1	1	6	0
Salicibibacter	106	123	12	12	18	28	1	12	4	12	17	14	27	45	20	21	49	23
Salidesulfovibrio	12	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Salimicrobium	5	8	1	0	1	2	0	2	0	0	2	2	3	2	3	6	4	2
Salinarchaeum	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Salinibacter	19	30	4	6	6	3	2	2	0	1	1	3	5	7	3	1	2	1
Salinibacterium	23	122	7	7	10	11	0	0	1	0	7	5	8	32	2	5	20	6
Salinicoccus	47	24	5	5	5	5	0	0	0	0	3	4	3	9	2	3	3	2
Salinicola	17	118	7	7	7	10	0	1	0	2	8	11	11	36	8	10	27	4
Salinigranum	27	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Salinilacihabitans	7	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Salinimicrobium	7	3	0	0	0	0	1	3	3	2	0	0	1	0	0	0	1	0
Salinimonas	15	21	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0
Saliniradius	1	98	5	5	8	4	0	0	0	0	10	9	12	23	6	12	16	7
Salinisphaera	15	18	2	5	3	3	0	1	1	1	4	6	4	11	5	3	4	2
Salinispira	15	8	0	2	3	2	0	1	0	0	0	0	0	0	0	0	2	0
Salinivibrio	6	47	0	2	4	5	2	0	1	1	3	3	10	24	5	5	19	12
Salinivirga	4	40	8	3	0	2	1	1	0	0	1	2	7	8	1	3	5	5
Salipaludibacillus	64	109	1	1	2	2	1	1	0	1	8	5	7	23	10	10	18	10
Salipiger	14	15	5	10	3	2	9	5	3	0	1	3	8	15	2	3	6	5
Salisediminibacterium	55	101	12	12	9	12	0	2	1	1	11	12	12	19	11	7	30	24
Salmonella	193	37	4	4	5	12	7	11	2	10	3	6	8	25	8	6	25	8
Sandaracinobacteroides	4	14	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0
Sandaracinus	23	203	5	5	1	3	1	0	0	0	3	5	4	18	2	1	6	2
Sanguibacter	17	84	3	0	1	0	0	0	0	0	1	1	4	3	0	0	2	3
Saprospira	13	45	7	4	3	6	0	1	0	1	8	7	6	20	6	14	13	15
Sarcina	109	155	17	22	27	20	19	40	23	19	45	51	89	101	48	40	122	73
Scardovia	31	21	2	1	3	3	0	0	0	0	2	1	5	4	4	2	4	3
Schaalia	147	580	16	29	34	40	5	4	2	3	37	11	46	78	15	15	62	19
Schleiferilactobacillus	30	8	6	7	13	5	7	8	6	4	5	2	13	13	10	11	16	9
Schneideria	2	14	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Schnuerera	48	128	13	24	20	16	6	16	10	15	20	38	48	76	39	26	98	49
Sciuripoxvirus	0	0	1	0	5	0	1	0	1	1	0	1	0	1	0	1	2	1
Sebaldella	108	167	13	8	10	10	21	27	18	18	20	19	25	43	30	28	62	31
Secundilactobacillus	9	8	0	0	0	0	0	1	2	2	1	0	2	2	2	2	4	0
Sedimentibacter	142	163	18	21	27	13	12	22	13	18	24	23	49	82	45	31	69	27
Sedimenticola	35	77	6	7	10	9	0	0	0	0	10	8	11	13	9	11	25	14
Sedimentisphaera	4	4	0	2	1	2	0	1	0	0	2	1	5	5	2	4	3	2
Sediminibacillus	27	111	10	8	8	14	1	0	0	0	16	11	22	45	16	11	62	18
Sediminibacterium	2	5	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
Sediminicoccus	3	3	3	4	2	0	5	2	2	0	3	2	2	5	0	1	4	1
Sediminispirochaeta	5	16	0	4	5	2	0	0	0	0	3	2	1	5	0	4	5	1
Segatella	441	365	11	21	16	32	82	125	93	106	6	10	24	21	11	15	56	15
Selenobaculum	34	57	1	2	7	2	3	11	5	7	3	6	12	12	8	6	22	10
Selenomonas	155	485	36	71	76	86	10	18	7	8	56	45	78	139	31	38	121	43
Sellimonas	6185	7249	642	762	772	824	49	45	23	33	890	722	1272	2287	893	961	2235	1133
Seonamhaeicola	2	28	8	9	12	6	2	7	4	2	3	7	16	13	6	6	10	6
Serinicoccus	21	125	9	3	2	3	8	3	4	3	5	9	8	10	3	7	5	1
Serpentinicella	88	87	10	14	12	7	10	18	14	15	15	19	28	40	21	21	53	24
Serpentinimonas	8	89	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	0
