genus	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Ethanoligenens	0	16.7354691554337	0	0	26.180855426418	32.2738150817151	25.7979415853324	0	0	0
Eubacterium	791154	6626.0628441315	9106.51560572055	5594.67268593648	10837.4194775286	14819.8361611613	15224.2036969741	4053.35981417243	4164.84137377477	4258.97878718968
Evtepia	20970	0	0	0	0	0	0	0	0	0
Extibacter	0	0	0	0	11.1120892558403	15.610170884272	16.2479501013821	0	0	0
Faecalibacterium	2453427	40619.6061206915	50441.7636948247	33860.2780423865	66543.0549293478	87431.1231301488	95587.574836267	24077.2020873404	22071.17055862	24126.9046950883
Faecalicatena	6696	2585.61655660869	3399.40076450949	2026.10165575629	3631.72917898007	4920.89014319272	5365.87884471267	1589.44904780353	1568.36421230952	1593.88358307954
Faecalicoccus	0	47.9435487966782	39.3268989504587	36.5029619155817	110.929406235237	121.61786535476	83.3234788576061	74.6312625850455	61.7982323408747	68.0114213826435
Faecalimonas	0	2103.51391039885	2687.77162797289	1630.33594877503	3149.69780880495	4320.31694495017	4502.75888187235	1238.364666399	1253.64050964932	1293.84845124997
Faecalitalea	0	0	25.5669648289859	0	15.1750112248839	23.7267883999161	22.2020247092206	22.3477381426739	13.1847757522664	0
Falcatimonas	0	356.818335671582	460.214968047937	309.026169527319	575.320988352407	788.044957033689	834.751712710271	304.119860819205	314.603266761297	276.844788722404
Flavonifractor	21906	590.561788173426	715.488762824605	522.763398842224	944.747210323698	1189.53000269056	1327.69996359885	381.685338430815	354.747754390311	377.203790637555
Flintibacter	0	1030.26263232493	1257.07463925186	821.054036423774	1454.52194849559	2001.35434389273	2106.43738300982	600.907338979276	586.946219111786	588.339472813808
Fournierella	0	77.741804538672	90.4983005153514	60.5328693636375	89.0944235139976	139.016605607484	151.52395274579	41.2569295947376	33.3678565741276	48.6338483198456
Frisingicoccus	9000	1160.10058955389	1498.84832296636	950.302536221412	1799.17247591522	2391.57190316654	2600.54447869606	786.411023946785	778.529622200739	837.716226914044
Fusicatenibacter	810396	14497.9142589363	18258.6676101054	11720.3614313936	21883.353919118	28740.5072156349	31396.7752062976	8419.16111143177	8375.28609919262	8501.75555288571
Fusobacterium	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268
Gabonia	3402	10.0205195812734	0	0	10.0120284731627	0	0	0	0	0
Gemmiger	219420	14676.4246248927	18712.8970925684	12297.4508883816	24201.2071766941	31943.9671517103	34865.4373509353	8590.14954610522	8036.43793923679	8615.50459472183
Geosporobacter	0	18.7336268362152	20.0649438871599	20.0791244064033	41.5875905010732	55.9279682979409	48.0145530275531	0	0	0
Gloeobacter	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0
Gordonibacter	8298	0	0	0	0	0	0	0	0	0
Gottschalkia	0	22.3056876145752	16.0373227603858	0	34.9843141697078	58.0567912182591	45.5393653273039	20.7650915833431	0	0
Gracilibacter	0	20.9316889240411	27.6497612694059	21.1913572883322	36.0146189360143	47.6676795808278	66.0196163171018	13.8120988002924	15.1491573443343	24.9268243173585
Haemophilus	0	0	0	0	31.0221009093008	47.0280201469417	56.0296727650381	0	0	0
Harryflintia	0	110.450167407685	111.91466303271	93.3138773601601	188.132604554858	248.288888592414	230.705731384039	71.1684990641833	63.2540735926018	46.8248551185131
Herbinix	0	0	0	0	0	10.3056237043448	0	0	0	0
Hespellia	0	41.3380473440133	70.4446228510192	39.1456716844407	64.4615269762956	86.1821425389146	124.934847864792	32.1020964303822	24.7551852198753	32.0368964632201
Holdemania	14877	0	14.0125006393933	0	25.0153469013023	25.0149691102106	30.0755212354232	13.0251435998811	22.7869791434493	15.1896446732243
Hungateiclostridium	0	2064.36595293458	2832.29497046981	1784.6831351409	3274.76001529486	4268.39425650288	4639.97207204685	1193.15650903549	1276.48798527825	1368.56273201411
