sample	DNA_isolation_method	category	N	ratio
SRTP_A_M1_210415_ZMB	ZMB	above_max	297	0.00476710217970531
SRTP_A_F3_210317_ZHMW	ZHMW	above_max	217	0.00350661732624469
SRTP_A_M2_210415_ZMB	ZMB	above_max	565	0.00468149277475805
SRTP_A_F3_210401_ZMB	ZMB	above_max	114	0.00270751692198076
SRTP_A_F2_210705_ZMB	ZMB	above_max	490	0.00514354694798719
SRTP_A_F4_210330_ZHMW	ZHMW	above_max	242	0.0054318549111151
SRTP_A_F1_210317_ZMB	ZMB	above_max	410	0.00421390176469984
SRTP_A_F1_210903_ZHMW	ZHMW	above_max	234	0.00333276363014869
SRTP_A_F4_210317_ZMB	ZMB	above_max	132	0.00315683742287272
SRTP_A_M2_210803_ZMB	ZMB	above_max	199	0.00348499176911492
SRTP_A_F2_210401_ZHMW	ZHMW	above_max	170	0.00458628969163946
SRTP_A_M2_211203_ZHMW	ZHMW	above_max	209	0.00310112026114697
SRTP_A_M2_211203_ZMB	ZMB	above_max	149	0.00297684454478253
SRTP_A_F1_211203_ZMB	ZMB	above_max	272	0.00492842906323609
SRTP_A_F1_211203_ZHMW	ZHMW	above_max	112	0.0035268925557375
SRTP_A_F1_210705_ZHMW	ZHMW	above_max	120	0.00297427254250731
SRTP_A_M3_211203_ZMB	ZMB	above_max	145	0.00307164343515655
SRTP_A_F2_210401_ZMB	ZMB	above_max	122	0.00300974466510423
SRTP_A_F3_210317_ZMB	ZMB	above_max	389	0.00409792891304806
SRTP_A_F2_210705_ZHMW	ZHMW	above_max	113	0.0026396935152308
SRTP_A_M4_210401_ZHMW	ZHMW	above_max	72	0.00254587885859765
SRTP_A_M4_210317_ZHMW	ZHMW	above_max	119	0.00366120050456881
