superkingdom	phylum	class	order	family	genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Murimonas	201.592293013502	154.93936824483	113.622440404968	407.236841811253	181.323350493506	197.34960035366	124.362425590048	73.928518570688	192.30886831656
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio	360.566867504449	150.570582188528	107.065799075458	755.724580176637	164.228450771506	221.137871000452	258.247921515208	102.579160925653	168.449479511122
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella	66.7216984851616	33.1944078465288	49.8015335570966	147.161612023858	70.6465681517746	77.9214276663458	51.2390356274386	38.7384179318398	74.2914335759901
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	2704.89246089157	1922.41585402852	1746.2661952272	6453.89467667984	2410.3150875828	3181.76706508624	1747.71528393981	1103.31761740917	2509.82610552429
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sellimonas	49.5339677191221	39.9272792411224	34.0923006554499	136.553828544237	67.4107471468809	62.4808612412632	42.5561119408855	22.1424122436195	39.7827388263555
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Syntrophococcus	120.309236582846	102.846830889614	72.9546501247156	289.010892883171	92.190582341661	144.056591419493	85.9507934381725	61.0052577872855	117.329703463246
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	139.605470135492	79.4670955783647	73.1937273910455	236.842321208952	82.7831052297577	119.76981933886	70.4096894001593	48.9293790092848	138.481656529298
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unassigned	3688.50001436282	2303.02435962583	2254.67407703396	8903.73665833534	3033.79853173295	5492.35143315986	3104.04750417877	1543.47284694416	4834.731454811
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Dysosmobacter	1243.53496448107	757.820874763332	796.30497978873	3153.35132518337	1026.8023533437	1926.4525097973	751.12749863736	427.760341921061	1242.69166963579
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	340.922866219978	228.154746619755	281.897141196556	908.941456272867	354.33063100338	521.709568773643	263.013411747989	115.979406505037	416.394241919148
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	0	0	0	18.8956043181556	0	0	0	0	11.3927886342879
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	63.8015873959048	43.0372187492977	82.0776295571572	108.069952328863	67.0644837894634	58.0335062055043	65.0587399982561	27.2917602078874	85.0690953770938
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptacetobacter	284.885685053876	144.123116626151	310.3068609985	405.004807392216	309.317400732171	262.283658353513	223.310796954699	125.205134485767	367.880048982434
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	13.2900283083803	0	14.0117392880885	22.0284953228144	17.0282536774997	11.033659710059	0	0	17.0147642214281
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio	40.5705254341518	24.3144469241923	12.5786225060392	49.2843306139673	29.1655174201389	45.9685808891448	22.2240813037003	15.4908679915243	38.6471842976825
