species	Canis_lupus	FR	Homo_sapiens
Mailhella massiliensis			220
Martelella lutilitoris			70.2923517383848
Marvinbryantia formatexigens		928.997969626206	
Massilimicrobiota timonensis			248
Massilistercora timonensis		691.69972869028	
Mediterraneibacter glycyrrhizinilyticus	2447.783676167	552.291610248082	4663.61880127488
Megamonas funiformis	45512.8775043609	14655.3846845535	13
Megamonas hypermegale	558.414867254767		
Megamonas rupellensis	17380.5354860021	9010.60930495115	
Megasphaera elsdenii	45		
Megasphaera stantonii	1216.99999999942		
Merdimonas faecis	56.5192215017629		
Mobilitalea sibirica		197.742530214532	
Monoglobus pectinilyticus	322.689785258997	31037.5958573695	14259.2461140952
Mucispirillum schaedleri	103		
Murimonas intestini		582.228704317183	704.315680177669
Mycoplasma capricolum		92.1669158696388	
Negativibacillus massiliensis	4314.43576201301	2491.74709667083	
Neglecta timonensis	13.0066434133494	4728.50169514791	3728.58308018985
Odoribacter laneus		2677.00000000002	
Odoribacter splanchnicus	37	767.999999999983	1154
Oscillibacter ruminantium	420.31582318586	5139.39711600789	10.1214293646105
Oscillibacter sp. PEA192		278.950449135962	1370.36291500678
Oscillibacter valericigenes	632.151932607172	17250.4137028193	169.669535240045
Oxalobacter formigenes		211	
Paludicola psychrotolerans	144.622741161342	488.343758354091	606.159847278803
Papillibacter cinnamivorans	1902.31537984278	4654.08084697117	
Parabacteroides distasonis		1488.20182144463	
Parabacteroides goldsteinii		118	
Parabacteroides johnsonii		872.000000000136	
Parabacteroides merdae	1124.99999999435	753.000000000008	
Parabacteroides sp. CT06		2536.79819070455	
Paraprevotella clara	1135.69174070202		
Paraprevotella xylaniphila	108.019755903139		
Parasutterella excrementihominis		650	3028
Parasutterella secunda	2749.9999999985		
Peptacetobacter hiranonis	333895.230148872	205.000011138839	268.000000005031
Peptococcus niger	10675.5353368192	413.40314838815	
Peptococcus simiae	10.3264184729935	65.3275185652584	
Petrocella atlantisensis		26.2478722052489	
Phascolarctobacterium faecium		8950.99999621245	318.363202835258
Phascolarctobacterium succinatutens	36842.8093269031		41421.6590372208
Phocaeicola coprocola	892.748936709551		
Phocaeicola coprophilus	60.3004434301231		
Phocaeicola dorei		10354.8498855311	55784.3527535494
Phocaeicola massiliensis		2829.99410354921	35637.2289855056
Phocaeicola plebeius	5687.89672703339		
Phocaeicola vulgatus	813.641837905003	19701.7328692543	
