species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Bacteroides salyersiae	0.000863882211538462	0.000713655410520631	0.00076785646405912	0.000304020687567953	0.000341908482496185	0.000375475893865481	0.000854700854700855	0.000913969924012966	0.000587050476219395
Bacteroides sp. A1C1	0.000644781650656083	0.000578639522043755	0.000721602113626939	0.000354213666743975	0.000297587012386858	0.000296887916122872	0.000742775744067351	0.000627025902418507	0.000506077996740859
Bacteroides stercoris	0.00148362374785324	0.00136462487281541	0.00162694339964102	0.000805414408902057	0.000759796653057842	0.000733487792626725	0.00203500203500204	0.00185982251979383	0.00148786931041812
Bacteroides thetaiotaomicron	0.00020588185019179	0.000232305559316049	0.000257567102309197	0.000152439161083396	0.000104908318342862	0.000125906601529157	0.000254375159002492	0.000244582001994136	0.000176881562097717
Bacteroides timonensis	0	0	0	0	0	0	0	0	0
Bacteroides uniformis	0.00337414868802882	0.00333199924776862	0.0032317182939327	0.00175420101625588	0.00170637659335467	0.00156998943322383	0.00394738718565456	0.0035283489846637	0.00323889917914149
Bacteroides vulgatus	0	0	0	0	0	0	0	0	0
Bacteroides xylanisolvens	0.00103285886593093	0.000992830557516412	0.000941298796937363	0.00054818579728414	0.000496741748602612	0.000558841929013318	0.00116984217014184	0.00113396334566854	0.00111747758781078
Barnesiella intestinihominis	0.000525841346153846	0.000612393494162973	0.000562587904360056	0.000312045373083978	0.000304608352481354	0.000224121269981721	0.000661375661375661	0.000680163664381742	0.000556685796414944
Bifidobacterium bifidum	0.00140224358974359	0.00133087090070064	0.00132284182917094	0	0	0	0.0014041514041514	0.00200860832137733	0.00130568123159141
Bifidobacterium longum	0.00100786258012821	0.000810095330861256	0.000919907249021173	0	0	0	0.00114977614977615	0.00143472022955524	0.00104252067328617
Bifidobacterium pseudocatenulatum	0.00343048878205128	0.00336093122387081	0.00313984870946896	0	0	0	0.00412087912087912	0.00468675274988044	0.00373485561594753
Bilophila wadsworthia	0	0	0	0	0	0	0	0	0
Bittarella massiliensis	0	0	0	0	0	0	0	0	0
Blautia caecimuris	0.000131095235797813	9.42805505386604e-05	8.36278965005453e-05	6.96132229719178e-05	8.24401575896415e-05	0.000127798284335106	0.000102606713416988	0	0.000141379011394593
Blautia faecis	0.0228248135422715	0.0236679906899055	0.0231369930696674	0.0221608183455459	0.0233358716448997	0.022865579767293	0.0223748290782841	0.0222551528083612	0.0229226991372857
