id;alias;instrumentModel;firstCreated;firstPublic;releaseStatus;submissionAccountId;studyId;experimentId;sampleId
ERR12020608;"ena-RUN-TAB-04-09-2023-23:03:38:321-2683";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404536;ERS15987713
ERR12020607;"ena-RUN-TAB-04-09-2023-23:03:38:320-2681";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404535;ERS15987711
ERR12020606;"ena-RUN-TAB-04-09-2023-23:03:38:320-2679";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404534;ERS15987709
ERR12020605;"ena-RUN-TAB-04-09-2023-23:03:38:319-2677";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404533;ERS15987707
ERR12020604;"ena-RUN-TAB-04-09-2023-23:03:38:319-2675";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404532;ERS15987705
ERR12020603;"ena-RUN-TAB-04-09-2023-23:03:38:318-2673";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404531;ERS15987703
ERR12020602;"ena-RUN-TAB-04-09-2023-23:03:38:318-2671";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404530;ERS15987701
ERR12020601;"ena-RUN-TAB-04-09-2023-23:03:38:317-2669";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404529;ERS15987699
ERR12020600;"ena-RUN-TAB-04-09-2023-23:03:38:317-2667";"Illumina MiSeq";2023-09-05T00:03:50;;CANCELLED;Webin-42996;ERP144665;ERX11404528;ERS15987697
ERR12020599;"ena-RUN-TAB-04-09-2023-23:03:38:316-2665";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404527;ERS15987695
ERR12020598;"ena-RUN-TAB-04-09-2023-23:03:38:316-2663";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:37;PUBLIC;Webin-42996;ERP144665;ERX11404526;ERS15987693
ERR12020597;"ena-RUN-TAB-04-09-2023-23:03:38:316-2661";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404525;ERS15987691
ERR12020596;"ena-RUN-TAB-04-09-2023-23:03:38:315-2659";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404524;ERS15987689
ERR12020595;"ena-RUN-TAB-04-09-2023-23:03:38:315-2657";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404523;ERS15987687
ERR12020594;"ena-RUN-TAB-04-09-2023-23:03:38:315-2655";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404522;ERS15987685
ERR12020593;"ena-RUN-TAB-04-09-2023-23:03:38:314-2653";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404521;ERS15987683
ERR12020592;"ena-RUN-TAB-04-09-2023-23:03:38:314-2651";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404520;ERS15987681
ERR12020591;"ena-RUN-TAB-04-09-2023-23:03:38:314-2649";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404519;ERS15987679
ERR12020590;"ena-RUN-TAB-04-09-2023-23:03:38:313-2647";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404518;ERS15987677
ERR12020589;"ena-RUN-TAB-04-09-2023-23:03:38:313-2645";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404517;ERS15987675
